Job Title,Job Description
Senior Brand Marketing - Mảng F&B (Đi Làm Sau Tết),"Mô tả công việc
1: Định hướng, phát triển giá trị và thương hiệu sản phẩm:
Nghiên cứu đặc tính, điểm mạnh của từng dòng sản phẩm thuộc nhãn hàng.
Phân tích và định vị đúng nhóm khách hàng tiềm năng để xây dựng các chiến dịch truyền thông hiệu quả
2: Xây dựng brand guideline:
Phát triển bộ quy chuẩn thương hiệu (brand guideline) cho từng dòng sản phẩm để đảm bảo sự đồng bộ trong các hoạt động tiếp thị.
Hướng dẫn các bộ phận liên quan (Thiết kế, Quảng cáo, Truyền thông...) làm việc theo đúng định hướng đã lên
3: Phát triển chiến dịch truyền thông:
Lập kế hoạch và triển khai các chiến dịch truyền thông phù hợp trên các kênh online và offline (Facebook, TikTok, website, showroom, sự kiện...).
Đảm bảo các chiến dịch nhắm đúng nhóm khách hàng mục tiêu và mang lại kết quả kinh doanh hiệu quả.
4: Phối hợp với các phòng ban liên quan:
Phối hợp với các bộ phận Thiết kế, Digital Marketing, Quảng cáo, Vận hành, R&D và đội quay dựng nội dung để triển khai chiến dịch hiệu quả.
Theo dõi và điều chỉnh các hoạt động nhằm tăng sự hiện diện của nhãn hàng và cải thiện doanh số.
Đảm bảo tương tác liên tục với khách hàng để gia tăng trải nghiệm và mức độ hài lòng.
5: Phân tích thị trường và đối thủ:
Thường xuyên theo dõi và phân tích thị trường để định vị sản phẩm chính xác.
Xây dựng các chính sách phù hợp dựa trên xu hướng thị trường và tình hình cạnh tranh.
6: Báo cáo và đánh giá hiệu quả:
Phân tích dữ liệu bán hàng và tiếp thị để xác định xu hướng và cơ hội phát triển.
Báo cáo định kỳ về tình hình thương hiệu và các hoạt động tiếp thị.
Đưa ra các đề xuất cải tiến dựa trên phân tích dữ liệu và phản hồi từ thị trường
Yêu cầu ứng viên
Kinh nghiệm: Tối thiểu 4 năm kinh nghiệm ở vị trí Brand Marketing
Kinh nghiệm triển khai: Đã từng tham gia xây dựng nhãn hàng và gắn các chiến dịch tiếp thị với kết quả kinh doanh cụ thể (ví dụ: tăng doanh số, độ nhận diện thương hiệu).
Kỹ năng quản lý dự án: Có khả năng lập kế hoạch, triển khai, theo dõi và đánh giá hiệu quả công việc.
Hiểu biết ngành F&B: Có kiến thức hoặc kinh nghiệm trong ngành F&B, đam mê với lĩnh vực này là một lợi thế.
Lifestyle trẻ trung: Nhạy bén với các xu hướng thị trường, hiểu tâm lý và phong cách sống của giới trẻ.
Kỹ năng làm việc nhóm: Khả năng phối hợp với nhiều phòng ban để thực hiện dự án liên ngành.
Tư duy phân tích: Nhạy bén trong việc phân tích thị trường và đối thủ cạnh tranh để đưa ra các chiến lược phù hợp.
Quyền lợi
Thu nhập: Lương cứng 15 - 18 triệu/tháng (thỏa thuận theo năng lực) + thưởng
Lương tháng thứ 13, review lương 1 lần/năm
Tham gia BHXH và các chế độ nghỉ lễ, Tết khác
Tham gia các hoạt động thường niên, du lịch, nghỉ mát, Gala cuối năm, teambuilding cùng công ty, hoặc các phong trào do team tổ chức
Môi trường làm việc năng động, chuyên nghiệp, cơ hội phát huy và thể hiện khả năng bản thân
Các quyền lợi khác:
+ Hưởng chính sách đào tạo bên ngoài theo lộ trình phát triển nghề nghiệp
+ Tham dự các Hội thảo & các khóa học online miễn phí theo cơ chế chung của công ty
+ Được đào tạo nội bộ về kiến thức cập nhật của ngành hoặc các kiến thức chuyên môn & kỹ năng mềm hàng tháng.
Địa điểm làm việc
- Hà Nội: 55 Huỳnh Thúc Kháng, Đống Đa
Cách thức ứng tuyển
Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây."
Quản Lý Dự Án Xây Dựng,"Mô tả công việc
- Chịu trách nhiệm trước Giám đốc công ty về chất lượng, tiến độ, an toàn lao động và quản lý chi phí của các dự án được giao.
- Đại diện công ty làm việc với Tư vấn giám sát, Chủ đầu tư/ thầu chính, chính quyền và người dân địa phương trong quá trình thực hiện các dự án.
- Chủ trì lập kế hoạch thi công, đề xuất nhân sự, thiết bị và chịu trách nhiệm tổ chức triển khai thực hiện theo hợp đồng, yêu cầu các dự án.
- Chủ trì lập, trình duyệt biện pháp, tiến độ thi công nội bộ, phương án kiểm soát chất lượng, an toàn trong quá trình thi công các dự án.
- Chịu trách nhiệm về việc lập, kiểm soát và trình CĐT/ Thầu chính hồ sơ quản lý chất lượng, hồ sơ hoàn công, hồ sơ nghiệm thu thanh quyết toán các hạng mục, công trình các dự án
- Chịu trách nhiệm kiểm soát nghiệm thu khối lượng cho tổ đội, nhà cung cấp và thầu phụ.
- Chủ trì lập các báo cáo công tác thi công (định kỳ/ đột xuất) theo quy định.
- Tổ chức hướng dẫn, đào tạo kỹ thuật, biện pháp an toàn
- Quản lý an toàn vệ sinh lao động cho các cán bộ, công nhân tham gia thi công.
- Lập phương án đầu tư, mua sắm bổ sung, thanh lý vật tư luân chuyển.
- Chủ trì quản lý, điều phối nhân sự gián tiếp thi công tại dự án.
- Phối hợp làm việc với các cơ quan quản lý nhà nước trong các đợt thanh, kiểm tra tại hiện trường khi phát sinh.
- Tham gia xây dựng, cập nhật, bổ sung hệ thống tiêu chuẩn, công nghệ thi công, quy định nội bộ trong quản lý, giám sát chất lượng, an toàn lao động.
- Thực hiện các công việc khác theo yêu cầu của Lãnh đạo Công ty.
Yêu cầu ứng viên
Trình độ học vấn/chuyên môn:
- Tốt nghiệp Đại học chính quy chuyên ngành xây dựng dân dụng & công nghiệp.
- Nắm vững các quy trình, tiêu chuẩn về thi công, quản lý chất lượng, khối lượng.
2. Kỹ năng:
- Kỹ năng làm việc tốt với tư vấn & Chủ Đầu Tư.
- Kỹ năng quản lý điều phối nhân sự bộ phận, thầu phụ và tổ đội thi công (cách ứng xử và triển khai công việc)
- Kỹ năng giao tiếp và mở rộng quan hệ
3. Kinh nghiệm:
- Đã tham gia thi công ít nhất 1 công trình nhà xưởng của chủ đầu tư Nhật hoặc Mỹ hoặc Châu âu
- Thời gian đã từng giữ chức vụ Chỉ huy trưởng từ 5 năm trở lên cho công việc thi công nhà xưởng (ưu tiên công trình nước ngoài)
- Kinh nghiệm thi công 8 năm trở lên
Quyền lợi
Được tham gia BHXH, BHYT, BHTN theo quy định
Môi trường làm việc ổn định, chế độ phúc lợi theo quy định của công ty
Được làm việc trong môi trường trẻ, có nhiều cơ hội phát triển và thăng tiến.
Các chế độ bảo hiểm theo quy định của công ty và pháp luật quy định.
Thưởng SXKD
Địa điểm làm việc
- Hà Nội: Số 145 Ngọc Hồi, Hoàng Liệt, Hoàng Mai
Thời gian làm việc
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00)
Cách thức ứng tuyển
Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây."
Chuyên Viên Phát Triển Thị Trường Phân Bón,"Mô tả công việc
- Tiến hành nghiên cứu thị trường và nắm vững sản phẩm để xác định chiến lược kinh doanh sản phẩm của công ty;
- Khảo sát và cập nhật tiến độ dự án cần triển khai và theo sát đến khi hoàn tất công việc;
- Tập trung phát triển hệ thống đại lý, đối tác tiềm năng phân phối sản phẩm cho công ty; xây dựng mối quan hệ với các đại lý, đối tác để hiểu các yêu cầu của họ và đưa ra định hướng phát triển phù hợp;
- Chịu trách nhiệm về chỉ tiêu doanh số bán hàng được giao;
- Phối hợp với bộ phận Kỹ thuật làm việc với các sở, ban, ngành, đối tác để triển khai các mô hình;
- Đưa ra những đề xuất kiến nghị để xây dựng chiến lược kinh doanh, thúc đẩy các chiến dịch tiếp thị mới nhất và góp phần tăng thêm chất lượng dịch vụ của Công ty;
- Thực hiện các báo cáo hàng tháng theo quy định;
- Triển khai các công việc khác theo yêu cầu của Ban Giám đốc.
Yêu cầu ứng viên
- Tốt nghiệp Đại học trở lên tuổi từ 25 – 35;
- Ưu tiên Nam;
- Sử dụng thành thạo tin học văn phòng (Word, Excel, Powerpoint);
- Có 2 năm kinh nghiệm trở lên làm việc ở các vị trí nhân viên kinh doanh, phát triển thị trường,...;
- Ưu tiên các bạn có kinh nghiệm làm việc và có kiến thức trong lĩnh vực nông nghiệp, am hiểu kỹ thuật cây trồng đam mê kinh doanh và có định hướng gắn bó với nền nông nghiệp;
- Khả năng giao tiếp tốt;
- Khả năng thuyết phục, khả năng đàm phán tốt;
- Nhanh nhẹn, năng động, xử lý tốt các tình huống phát sinh;
Quyền lợi
- Chế độ lương phù hợp với năng lực, lương cơ bản 10.000.000đ/tháng + thưởng hiệu quả kinh doanh;
- Làm việc từ thứ 2 đến thứ 6 hàng tuần;
- Được hưởng nhiều chế độ hỗ trợ và đãi ngộ từ công ty
- Được hưởng các chế độ nghỉ lễ tết theo quy định nhà nước;
- Đào tạo kĩ năng mềm và kĩ năng chuyên môn;
- Môi trường làm việc thân thiện và hòa đồng.
Địa điểm làm việc
- Hà Nội
- Nghệ An
Thời gian làm việc
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)
Cách thức ứng tuyển
Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây."
Chuyên Viên Trade Marketing,"Mô tả công việc
1. Công tác quản lý Trade Marketing
-Thành thạo về Độ bao phủ thị trường, những khu vực trọng điểm, phân khúc thị trường về Phân phối/ Trưng bày/ Chương trình hoạt náo/ Thực hiện những sáng kiến.
-Đề xuất những hoạt động mang tính cạnh tranh theo định hướng của Công ty và có tác động đến các hoạt động thực hiện Chương trình thương mại cho đối tác.
-Triển khai định mức chương trình, thiết lập KPI và điều kiện tầm nhìn dành cho đối tác bán lẻ được chọn.
-Phát triển các chương trình khuyến mãi, tầm nhìn tập trung vào timelines để đảm bảo Sản lượng bán hàng, xây dựng nhận diện thương hiệu và sự hài lòng của khách hàng. Thảo luận, đề xuất và thống nhất chương trình bán hàng.
-Theo dõi và đánh giá hiệu quả các chương trình khuyến mãi để kịp thời điều chỉnh phù hợp với định hướng kinh doanh.
-Cập nhật những chương trình hoạt động của đối thủ nhằm duy trì nhận hiện thương hiệu và cung cấp phản hồi từ các hoạt động của đối thủ để đề xuất chương trình bán hàng phù hợp.
-Xây dựng kế hoạch hạng mục phát triển cho toàn bộ kênh bán hàng để định hướng phát triển doanh số và sản lượng.
-Đánh giá kết quả kinh doanh theo từng nhóm khách hàng và từng hạng mục để đề xuất kế hoạch hành động nhằm định hướng phát triển tích cực.
-Tổng hợp báo cáo kinh doanh hàng tuần để theo dõi bám sát tiến độ thực hiện của từng đối tác và đôn đốc đạt chỉ tiêu sản lượng.
-Phụ trách quản lý và phát triển vật phẩm quảng cáo POSM.
-Phân tích dữ liệu bán hàng và xây dựng mẫu báo cáo theo dõi hiệu quả. Thu thập và phân tích thông tin thị trường để hiểu rõ hơn về khách hàng và đối thủ.
2. Phụ trách Ngân sách
-Kiểm soát đầu tư vào các chương trình khuyến mãi và trưng bày nằm trong Ngân sách được duyệt.
-Kiểm soát đầu tư vào các chương trình khuyến mãi và trưng bày nằm trong Ngân sách được duyệt.
Yêu cầu ứng viên
-Tốt nghiệp Đại học trở lên, ưu tiên chuyên ngành Kinh tế/ Marketing / Thương mại/ Quản trị kinh doanh/.
-Có 2 – 3 năm kinh nghiệm mảng Marketing – ưu tiên Trade Marketing cho các công ty về ngành Hàng tiêu dùng nhanh với minh chứng được ghi nhận cụ thể hoặc có tiềm năng lãnh đạo, tư tuy kinh doanh/ khởi nghiệp, và quản lý/ điều phối dự án.
-Kiến thức và kinh nghiệm thực tế về Trade/ Marketing trực tiếp trong ngành nước giải khát/ Hàng tiêu dùng nhanh là một lợi thế lớn.
-Kỹ năng triển khai công việc, tổng hợp và phân tích báo cáo
-Kỹ năng phân tích và xử lý dữ liệu lớn
-Kỹ năng giao tiếp, định hướng kết quả
-Kỹ năng giải quyết vấn đề
-Chủ động, kiên nhẫn, giao tiếp tốt.
-Khả năng làm việc độc lập/ nhóm và chịu được áp lực cao
-Trung thực, có tinh thần trách nhiệm cao
Quyền lợi
- Mức lương: Xứng tầm với năng lực
- Thưởng KPI 1 - 4 tháng lương
- Lương tháng 13
- Thưởng Tháng, Qúy
- Thử việc FULL LƯƠNG
- Bảo hiểm FULL LƯƠNG từ ngày đầu đi làm
- Du lịch hàng năm
- Bảo hiểm sức khỏe Bảo Việt từ tháng thứ 5
- Khám sức khỏe định kỳ hằng năm
Địa điểm làm việc
- Vĩnh Long: Số 11, Khóm Tân Vĩnh Thuận, Phường Tân Ngãi, Thành phố Vĩnh Long, TP Vĩnh Long
Thời gian làm việc
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00)
Cách thức ứng tuyển
Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây."
Giám Đốc Trung Tâm Đào Tạo Nghề,"Mô tả công việc
• Tham mưu cho ban điều hành trong việc xây dựng cơ chế, chính sách, quy định và quy trình nghiệp vụ liên quan tới các mảng nghiệp vụ của Trung tâm đào tạo.
• Chịu trách nhiệm: định hướng công tác đào tạo, đề xuất mô hình quản lý và hoạt động, chủ trì nghiên cứu, đề xuất kế hoạch trong ngắn hạn, trung hạn, dài hạn của Trung tâm đào tạo phù hợp chiến lược kinh doanh tổng thể của Trung tâm.
• Xây dựng các chương trình hành động chính cho Trung tâm, các kế hoạch đào tạo cho các đối tượng cán bộ khác nhau.
• Xây dựng khung tiêu chuẩn năng lực theo chức danh trên toàn hệ thống theo định hướng chiến lược và mục tiêu kinh doanh của hệ thống.
• Tổ chức xây dựng hệ thống học liệu đào tạo và các hình thức đào tạo.
Yêu cầu ứng viên
• Tốt nghiệp Đại học trở lên các chuyên ngành thuộc khối Kinh tế hoặc chuyên ngành tương đương (Nhân sự - Giáo dục)
• Có tối thiểu 3 năm kinh nghiệm liên quan nghiệp vụ đào tạo, tuyển sinh. Ưu tiên có kinh nghiệm trong lĩnh vực đào tạo nghề
• Am hiểu xu hướng hoạt động đào tạo trong lĩnh vực Kỹ thuật (Điện - Nhiệt lạnh, gia công cơ khí - Hàn, cắt gọt kim loại, v.v.) ở phạm vi trong và ngoài nước.
• Nắm vững kiến thức tổ chức, quản lý hoạt động của một đơn vị đào tạo.
• Nắm vững các phương pháp tổ chức, triển khai, kiểm tra nghiệp vụ đào tạo.
• Kiến thức chuyên sâu trong thiết kế, xây dựng, phát triển tài liệu đào tạo.
• Có khả năng giảng dạy, huấn luyện chuyên nghiệp.
• Kỹ năng quản lý, điều hành, phân tích tổng hợp tốt.
• Kỹ năng quản lý, tổ chức công việc và con người tốt. Giao tiếp tốt.
• Khả năng nói và viết Tiếng Anh thành thạo.
Quyền lợi
Được tham gia BHXH, BHYT, BHTN theo quy định
Môi trường làm việc ổn định, chế độ phúc lợi theo quy định của công ty
Được làm việc trong môi trường trẻ, có nhiều cơ hội phát triển và thăng tiến.
Các chế độ bảo hiểm theo quy định của công ty và pháp luật quy định.
Thưởng SXKD
Địa điểm làm việc
- Hà Nội: Số 145 Ngọc Hồi, Hoàng Liệt, Hoàng Mai
Thời gian làm việc
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00)
Cách thức ứng tuyển
Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây."
Quản Lý Kinh Doanh Kênh Đại Lý,"Mô tả công việc
Tìm kiếm và phát triển mới đại lý mới tại khu vực được công ty chỉ định.
Chăm sóc khách hàng cũ, giải quyết các vấn đề phát sinh tại các đại lý.
Tiếp nhận / theo dõi đơn hàng đúng tiến độ cam kết với đại lý.
Theo dõi tình hình thực hiện doanh thu của khách hàng và lập kế hoạch thúc đẩy tăng trưởng tăng thu.
Có thể đi công tác trong giai đoạn đầu phát triển thị trường.
Thực hiện các công việc khác theo chỉ đạo trực tiếp từ Giám Đốc Kinh Doanh.
Yêu cầu ứng viên
Có quan hệ với các đại lý điện máy / nội thất tại địa phương hoặc các ngành hàng tương tự.
Khả năng khai thác đại lý mới.
Có thể đi công tác
Quyền lợi
Thưởng KPI cao, bình quân tổng thu nhập từ 30-50 triệu.
Chế độ đãi ngộ tốt, thưởng tháng 13, 14, 15
Tham gia team building hàng năm.
Đóng đầy đủ bảo hiểm theo quy định.
Cơ hội thăng tiến
Môi trường làm việc chuyên nghiệp
Địa điểm làm việc
- Hà Nội: Khu B Geleximco Lê Trọng Tấn, Hà Đông
Cách thức ứng tuyển
Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây."
Chuyên Viên Kỹ Thuật Đất Và Cây Trồng,"Mô tả công việc
- Làm việc với các sở, ban, ngành, đối tác để triển khai các mô hình;
- Phối hợp với bộ phận kinh doanh để phát triển thị trường và chăm sóc khách hàng
- Biên soạn tài liệu kỹ thuật, xây dựng quy trình kỹ thuật liên quan đến sản phẩm của công ty như hướng dẫn sử dụng sản phẩm, quy trình chăm sóc cây trồng, ...
- Hướng dẫn kỹ thuật, giới thiệu sản phẩm, hướng dẫn sử dụng sản phẩm của công ty đến với nông dân và khách hàng.
- Lập các báo cáo kết quả khảo nghiệm, kiểm nghiệm, báo cáo khoa học, báo cáo các cơ quan quản lý liên quan đến lĩnh vực trồng trọt;
- Xây dựng các quy trình kỹ thuật trồng trọt và hướng dẫn triển khai;
- Thực hiện các công việc liên quan do Ban giám đốc phân công.
Yêu cầu ứng viên
- Tốt nghiệp Đại học trở lên các ngành BVTV, Nông Học, Khoa học cây trồng, Trồng Trọt.
- Sử dụng thành thạo tin học văn phòng (Word, Excel, Powerpoint).
- Kỹ năng thuyết trình, giao tiếp, thuyết phục khách hàng và ứng xử tình huống tốt.
- Kỹ năng quản lý công việc hiệu quả, làm việc nhóm.
- Cẩn thận, có tinh thần trách nhiệm cao trong công việc, nhiệt tình, chịu khó.
- Có thái độ làm việc tích cực để đóng góp vào sự phát triển lâu dài của công ty.
Quyền lợi
- Chế độ lương phù hợp với năng lực, lương cơ bản 10 – 15 triệu/tháng;
- Làm việc từ thứ 2 đến thứ 6 hàng tuần. Nghỉ T7 & Chủ nhật;
- Được hưởng nhiều chế độ hỗ trợ và đãi ngộ từ công ty
- Được hưởng các chế độ nghỉ lễ tết theo quy định nhà nước;
- Đào tạo kĩ năng mềm và kĩ năng chuyên môn;
- Môi trường làm việc thân thiện và hòa đồng.
Địa điểm làm việc
- Hà Nội
Thời gian làm việc
Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)
Cách thức ứng tuyển
Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây."
Giảng Viên Đào Tạo Nghề,"Mô tả công việc
Biên soạn giáo trình, tài liệu huấn luyện theo chuyên đề, module được phân công
Huấn luyện, đào tạo cho khách hàng doanh nghiệp hoặc học viên cá nhân tại khu vực HCM và các tỉnh lân cận.
Thực hiện các nhiệm vụ liên quan khác (nếu có)
Yêu cầu ứng viên
Trình độ chuyên môn: Cao đẳng trở lên một trong các chuyên ngành Cơ khí, cơ khí động lực/Máy xây dựng/Chế tạo máy/Nhiệt lạnh/Hàn cắt (hoặc kỹ thuật khác có liên quan), Có chứng chỉ Nghiệp vụ sư phạm.
Có kinh nghiệm trong thực tế sản xuất từ 3 - 5 năm.
Có Giấy chứng nhận người huấn luyện ATVSLĐ là một lợi thế.
Sẵn sàng làm việc ngoài giờ (có tính phụ cấp).
Có khả năng sử dụng các ứng dụng dạy học trực tuyến và phần mềm chỉnh sửa clips.
Quyền lợi
Thời gian làm việc: 8:00 - 17:00 từ thứ Hai - thứ Sáu, thứ Bảy làm buổi sáng.
Lương từ 15-20 triệu và phụ cấp (hoặc thỏa thuận)
Phụ cấp công tác, ngoài giờ (tối thứ Bảy và Ngày chủ nhật khi có lớp)
Chế độ Bảo hiểm đầy đủ theo quy định
Tháng lương 13 và thưởng cuối năm (nếu có) dựa trên kết quả kinh doanh của công ty
Được tài trợ tham gia các khóa học nâng cao nghiệp vụ, chuyên môn
Địa điểm làm việc
- Hồ Chí Minh: Theo sự phân công của Ban Giám đốc, Gò Vấp
Thời gian làm việc
Thứ 2 - Thứ 7 (từ 08:00 đến 17:00)
Cách thức ứng tuyển
Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây."
Nhân Viên Kinh Doanh,"Mô tả công việc
Nhập hóa đơn mua hàng hóa và chứng từ liên quan
Xuất hóa đơn GTGT bán hàng.
Lập phiếu thu, phiếu chi tiền mặt, ngân hàng.
Chấm công, tính toán lương cho nhân viên.
Thực hiện các thủ tục BHXH cho Nhân viên
Theo dõi tồn kho hàng hóa.
Nhận và quản lý chứng từ đầu ra, đầu vào.
Quản lý thông tin, hợp đồng với các nhà cung cấp
Làm báo giá và bộ chứng từ thanh toán hàng tháng với khách hàng.
Các công việc khác theo yêu cầu của cấp trên.
Yêu cầu ứng viên
- Có từ 2 năm kinh nghiệm làm việc chuyên ngành trở lên.
- Biết sử dụng phần mềm Misa, thành thạo tin học văn phòng.
- Có khả năng giao tiếp tốt.
- Có thể làm việc dưới áp lực cao.
- Trung thực, ngăn nắp, tỉ mỉ.
- Có nhu cầu gắn bó lâu dài với công ty.
Quyền lợi
- Lương thỏa thuận khi phỏng vấn theo năng lực ứng viên.
- Hưởng đầy đủ BHXH, BHYT, BHTN theo Luật lao động (sau 02 tháng thử việc).
- Các phúc lợi khác theo chính sách của Công ty (phép năm, thưởng lễ tết ...)
- Môi trường làm việc thân thiện, bền vững, cởi mở, được tạo điều kiện để phát huy hết năng lực bản thân, có cơ hội thăng tiến và phát triển sự nghiệp.
Địa điểm làm việc
- Hải Phòng: Số 97C ngõ 111 Đông Khê, P. Đông Khê, Q. Ngô Quyền, TP. Hải Phòng, Ngô Quyền
Thời gian làm việc
Thứ 2 - Thứ 7 (từ 08:00 đến 17:30)
Cách thức ứng tuyển
Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây."
Nhân Viên Mua Hàng Tiếng Trung (Đi Làm Sau Tết),"Mô tả công việc
Nhập hóa đơn mua hàng hóa và chứng từ liên quan
Xuất hóa đơn GTGT bán hàng.
Lập phiếu thu, phiếu chi tiền mặt, ngân hàng.
Chấm công, tính toán lương cho nhân viên.
Thực hiện các thủ tục BHXH cho Nhân viên
Theo dõi tồn kho hàng hóa.
Nhận và quản lý chứng từ đầu ra, đầu vào.
Quản lý thông tin, hợp đồng với các nhà cung cấp
Làm báo giá và bộ chứng từ thanh toán hàng tháng với khách hàng.
Các công việc khác theo yêu cầu của cấp trên.
Yêu cầu ứng viên
- Có từ 2 năm kinh nghiệm làm việc chuyên ngành trở lên.
- Biết sử dụng phần mềm Misa, thành thạo tin học văn phòng.
- Có khả năng giao tiếp tốt.
- Có thể làm việc dưới áp lực cao.
- Trung thực, ngăn nắp, tỉ mỉ.
- Có nhu cầu gắn bó lâu dài với công ty.
Quyền lợi
- Lương thỏa thuận khi phỏng vấn theo năng lực ứng viên.
- Hưởng đầy đủ BHXH, BHYT, BHTN theo Luật lao động (sau 02 tháng thử việc).
- Các phúc lợi khác theo chính sách của Công ty (phép năm, thưởng lễ tết ...)
- Môi trường làm việc thân thiện, bền vững, cởi mở, được tạo điều kiện để phát huy hết năng lực bản thân, có cơ hội thăng tiến và phát triển sự nghiệp.
Địa điểm làm việc
- Hải Phòng: Số 97C ngõ 111 Đông Khê, P. Đông Khê, Q. Ngô Quyền, TP. Hải Phòng, Ngô Quyền
Thời gian làm việc
Thứ 2 - Thứ 7 (từ 08:00 đến 17:30)
Cách thức ứng tuyển
Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây."
